qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the owner of reading football club
Answer: ",The owner of Reading Football Club is **Mark Pollard**., owner of reading football club is mark pollard,Dai Yongge,0,0.0,0.07136999999994487,2.052582269843654e-05,6.026804174347991e-06,0.0,0.0,0.0
1,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who was the first lady nominated member of the rajya sabha
Answer: ",The first lady nominated member of the Rajya Sabha is **Anjali R.**, first lady nominated member of rajya sabha is anjali r,Mary Kom,0,0.0,0.35475450000001274,9.892024091666334e-05,2.9045019517267208e-05,0.0,0.0,0.0
2,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: cast of law & order special victim unit
Answer: ",The cast of *Law & Order: Special Victims Unit* includes a variety of professionals and individuals who play key roles in the show., cast of law order special victims unit includes variety of professionals and individuals who play key roles in show,Christopher Meloni,0,0.0,0.3583214999999882,0.00010026306844732421,2.9439301329310374e-05,0.0,0.0,0.0
3,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who designed the garden city of new earswick
Answer: ",The Garden City of New Earwick is designed by the architects and planners of the city., garden city of new earwick is designed by architects and planners of city,planner Raymond Unwin and the architect Barry Parker,0,0.1,0.32977970000001733,9.252628012667154e-05,2.7167620976614547e-05,0.0,0.0,0.0
4,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the first step in the evolution of the eye
Answer: ",The first step in the evolution of the eye is the development of the complex structure and organ systems that allow for vision., first step in evolution of eye is development of complex structure and organ systems that allow for vision,"photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots""",0,0.13333333333333333,0.36785250000002634,0.00010282816577777322,3.0192466721308843e-05,0.0,0.0,0.0
5,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the president of usa right now
Answer: ",United States President: Donald J. Trump.,united states president donald j trump,Donald Trump,0,0.5,0.24052860000000464,6.71828565751136e-05,1.9726269996591085e-05,0.0,0.0,0.0
6,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who died in the plane crash greys anatomy
Answer: ",The person who died in the plane crash is not mentioned in the question., person who died in plane crash is not mentioned in question,Dr. Lexie Grey,0,0.0,0.28151360000003933,7.794223929689208e-05,2.2885446301176502e-05,0.0,0.0,0.0
7,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does kylo ren's name come from
Answer: ","Kylo Ren's name comes from the Greek word *kylo* meaning ""lion.""",kylo rens name comes from greek word kylo meaning lion,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.16666666666666666,0.34826169999996637,9.769042801977511e-05,2.8683921128689705e-05,0.0,0.0,0.0
8,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what type of car is a jeep considered
Answer: ",Jeep is a type of vehicle.,jeep is type of vehicle,sport utility vehicles,0,0.0,0.22521760000000768,6.291395385755178e-05,1.8472832261301348e-05,0.0,0.0,0.0
9,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the name of manchester united stadium
Answer: ",Manchester United Stadium.,manchester united stadium,Old Trafford,0,0.0,0.1910881999999674,5.289202929021207e-05,1.5530188855244626e-05,0.0,0.0,0.0
10,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is rose in the fall season 2
Answer: ","Rose is a character from the TV series ""The Fall"" (2017–2022) portrayed by the actress Lila Rose.",rose is character from tv series fall 2017–2022 portrayed by actress lila rose,a woman who had a sexual relationship with Paul whilst at university,0,0.0,0.32239110000000437,8.939351978244673e-05,2.6247778035496087e-05,0.0,0.0,0.0
11,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the corporate tax rate in great britain
Answer: ",The corporate tax rate in Great Britain is 20%., corporate tax rate in great britain is 20,a flat rate of 20%,0,0.3333333333333333,0.32632080000001906,9.103887580644816e-05,2.67308884422958e-05,0.0,0.0,0.0
12,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the meaning of the name sinead
Answer: ","The name ""Sinead"" means ""light"" in the Old English language.", name sinead means light in old english language,God forgave/God gratified,0,0.0,0.3828596000000175,0.00010613842385445489,3.116442665138433e-05,0.0,0.0,0.0
13,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: which five year plan was affected by indo pak indo china war
Answer: ",The Five-Year Plans affected by the Indo-Pak-Indo-China War are the 1971 1974 and 1978 Five-Year Plans., fiveyear plans affected by indopakindochina war are 1971 1974 and 1978 fiveyear plans,The Third Five-year Plan,0,0.125,0.4366337999999814,0.00012435172573266545,3.651222709772749e-05,0.0,0.0,0.0
14,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what are three different types of hotel properties
Answer: ",1. Boutique hotels  2. Luxury hotels  3. Mid-range hotels,3 midrange hotels,Hotel barge,0,0.0,0.07096749999999474,1.924814544045376e-05,5.65165182381801e-06,0.0,0.0,0.0
15,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who decides the number of judges in the high court
Answer: ",The number of judges in the High Court is decided by the President of the United States of America., number of judges in high court is decided by president of united states of america,the President of India,0,0.2222222222222222,0.40807799999998906,0.00011397001412178405,3.346394280761215e-05,0.0,0.0,0.0
16,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who has won the mens singles title in the australian open tennis tournament
Answer: ",Australian Open men's singles final winner is **Sergei Chumakov**.,australian open mens singles final winner is sergei chumakov,Roger Federer,0,0.0,0.07088129999999637,1.911416333334286e-05,5.612311918456485e-06,0.0,0.0,0.0
17,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does the brain get its energy from
Answer: ",The brain gets its energy from glucose and other nutrients which are processed in the liver., brain gets its energy from glucose and other nutrients which are processed in liver,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar)",0,0.30769230769230765,0.4105571999999711,0.00011465701636310549,3.366566081115399e-05,0.0,0.0,0.0
18,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where was the first season of slasher filmed
Answer: ",The first season of *Slasher* was filmed in **New York City**., first season of slasher was filmed in new york city,"Sudbury, Parry Sound, and Sault Ste. Marie, Ontario",0,0.0,0.386799099999962,0.00010686661182222169,3.1378237632231455e-05,0.0,0.0,0.0
