qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Lena Horne,Lena Horne,Hal Derwin,0,0.0,0.3004246000000421,8.633495552692855e-05,2.5349720593731644e-05,0.0,0.0,0.0
1,It undermines fair markets.,It undermines fair markets.,"because it is seen as unfair to other investors who do not have access to the information, as the investor with insider information could potentially make larger profits than a typical investor could make",0,0.05714285714285715,0.35053719999996247,0.00010273801492537008,3.0165996574822306e-05,0.0,0.0,0.0
2,2020.,2020.,2020 National Football League (NFL) season,0,0.2857142857142857,0.2884163999997327,8.438386584090919e-05,2.477684048865676e-05,0.0,0.0,0.0
3,Sir Shahab-ud-Din.,Sir Shahab-ud-Din.,"Haji Sahib of Turangzai, the most famous Pukhtun religious leader of the time",0,0.0,0.33038500000020576,9.698567525206548e-05,2.847699120511401e-05,0.0,0.0,0.0
4,Scottie Scheffler.,Scottie Scheffler.,Dustin Johnson,0,0.0,0.21511129999998957,6.335395255116359e-05,1.8602024937391706e-05,0.0,0.0,0.0
5,Hieroglyphs.,Hieroglyphs.,hieroglyphs,1,1.0,0.23896379999996498,7.12393857102064e-05,2.0917350475260704e-05,0.0,0.0,0.0
6,Derrick Brown,Derrick Brown,Mike Czerwien,0,0.0,0.08796449999999822,2.3910626490580896e-05,7.020652261391944e-06,0.0,0.0,0.0
7,Israel.,Israel.,"the ruling city of the Northern Kingdom of Israel, Samaria",0,0.2222222222222222,0.2322782000001098,6.316772046117005e-05,1.8547343361220045e-05,0.0,0.0,0.0
8,at the bottom.,at the bottom.,on the continent of Antarctica,0,0.0,0.16729309999982434,4.771549221734502e-05,1.4010250984895652e-05,0.0,0.0,0.0
9,Lani Misalucha,Lani Misalucha,Sitti Navarro,0,0.0,0.42332310000028883,0.00012056322391226342,3.539984495737786e-05,0.0,0.0,0.0
10,China.,China.,China,1,1.0,0.19320379999999204,5.517099842713056e-05,1.6199341118195663e-05,0.0,0.0,0.0
11,Light.,Light.,warmth,0,0.0,0.38689019999992524,0.00010924509058091888,3.2076607969056307e-05,0.0,0.0,0.0
12,AirAsia X is a long-haul low-cost airline; AirAsia is a short-haul low-cost airline.,"AirAsia X is a long-haul, low-cost airline; AirAsia is a short-haul, low-cost airline.",AirAsia X is the medium and long-haul operation of the brand AirAsia,0,0.380952380952381,0.5834764999999607,0.00018474613872154332,5.424527028222263e-05,0.0,0.0,0.0
13,Mark Hamill,Mark Hamill,Mark Jackson,0,0.5,0.2676169999999729,7.44218636754805e-05,2.1851791533613286e-05,0.0,0.0,0.0
14,Dinesh Chandra Sen,Dinesh Chandra Sen,Michael Madhusudan Dutta,0,0.0,0.3764456999997492,0.00011008581962569674,3.2323463327353286e-05,0.0,0.0,0.0
15,Won.,Won.,The won,1,1.0,0.28817090000029566,8.022159443935751e-05,2.355471190330404e-05,0.0,0.0,0.0
16,North America's highest average incomes are found in Canada and the United States particularly in major metropolitan areas like New York San Francisco and Toronto.,"North America's highest average incomes are found in Canada and the United States, particularly in major metropolitan areas like New York, San Francisco, and Toronto.",Virginia,0,0.0,0.6852210000001833,0.00021178058777854576,6.218314116913968e-05,0.0,0.0,0.0
17,Heat.,Heat.,Miami Heat,0,0.6666666666666666,0.2235422999997354,6.27692158821539e-05,1.8430334211545657e-05,0.0,0.0,0.0
