qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
5adf62d05542992d7e9f932d,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Which number-one single is Michael Steele responsible for?
Answer:",None.,None.,"""Walk Like an Egyptian""",0,0.0,0.2697631000010005,7.798101713749429e-05,2.2896832273619467e-05,0.0,0.0,0.0
5ab2a54b554299295394678e,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: What is the size of the hydroelectric dam that will inundate part of Bui National Park?
Answer:",15 square kilometers.,15 square kilometers.,400 MW,0,0.0,0.3303968000000168,9.722678152186906e-05,2.854778497034635e-05,0.0,0.0,0.0
5ae63dad55429929b0807afe,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? 
Answer:",1862.,1862.,7 January 1936,0,0.0,0.304699399999663,8.545244993786535e-05,2.509059878184653e-05,0.0,0.0,0.0
5ab9ba6855429970cfb8eb87,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Which novel by the author of ""Armada"" will adapted as a feature film by Steven Spielberg?
Answer:","""The Council of Animals.""","""The Council of Animals.""",Ready Player One,0,0.0,0.3545851999988372,0.0001035622024544,3.0407995003517427e-05,0.0,0.0,0.0
5a863ff0554299211dda2ac6,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Are both Bird Talk and Decibel monthly magazines about birds?
Answer:",Yes.,Yes.,no,0,0.0,0.2652697000012267,7.444902258107078e-05,2.1859765947500956e-05,0.0,0.0,0.0
5a7653d25542992db9473765,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Nick Hexum of which American rock band helped produce Decomposer by The Matches?
Answer:",311.,311.,311,1,1.0,0.3503864999984216,9.698062701479696e-05,2.8475508938707937e-05,0.0,0.0,0.0
5a7fa55555429969796c1b0e,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: The star of ""The Inkwell"" also starred in what 1993 movie as O-Dog?
Answer:","""Boyz n the Hood.""","""Boyz n the Hood.""",Menace II Society,0,0.0,0.3611448999981803,0.0001064133266408,3.1245143769767904e-05,0.0,0.0,0.0
5ab707d65542991d32223761,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Witkins Township is served what district that is represented by Tim Murphy?
Answer:",Pennsylvania's 18th congressional district.,Pennsylvania's 18th congressional district.,Pennsylvania's 18th congressional district,1,1.0,0.3777622999987216,0.0001106255953838,3.2481952604018985e-05,0.0,0.0,0.0
5ae30aa05542992decbdcdd7,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?
Answer:",Anthony Saltsman Rogue Trader.,"Anthony Saltsman, Rogue Trader.",Dark Heresy,0,0.0,0.4663046999994549,0.0001313335898376,3.856224615667753e-05,0.0,0.0,0.0
5ac514d05542994611c8b372,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: What is the name of the person that named Moltke Nunatak after the Chief of the German General staff that served from 1906 to 1914?
Answer:",Alfred Merz.,Alfred Merz.,Second German Antarctic Expedition of 1911–12 under Wilhelm Filchner.,0,0.0,0.3025038000014319,8.501733396313291e-05,2.4962839772555137e-05,0.0,0.0,0.0
