qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The series of ministerial meetings and agreements between European,Bologna Process,0,0.0,5.965936699998565,0.0017524173365124466,0.0005145458125630927,0.0,0.0,0.0
1,"Randal Malone was born in Louisville, Kentucky.",107 mi southwest of Louisville,0,0.0,0.3937554000003729,0.00011542711284849398,3.3891776995678164e-05,0.0,0.0,0.0
2,Aly Mohamed played for the football club Al-M,United Arab Emirates,0,0.0,0.46508609999727923,0.00013751325443232902,4.037672292200328e-05,0.0,0.0,0.0
3,The Hangover is a comedy film produced by Thomas,Las Vegas,0,0.0,0.4725393999979133,0.00013903129347666077,4.082245044209429e-05,0.0,0.0,0.0
4,Michel Butor lived from 192,Michel Butor,0,0.5714285714285715,0.48182670000824146,0.00014170481081577472,4.1607450181022705e-05,0.0,0.0,0.0
5,The German software corporation that established Remote Function Call (,Walldorf,0,0.0,0.4804502000042703,0.0001413398358199775,4.150028600736107e-05,0.0,0.0,0.0
6,"In 1943, the renowned British","City of Westminster, London",0,0.0,0.46270499999809545,0.0001366171142411292,4.011359771019214e-05,0.0,0.0,0.0
7,The conflict in question is known as the Franco-,War of 1870,0,0.0,0.4604588999936823,0.00013507083794337153,3.965957915108556e-05,0.0,0.0,0.0
8,Francesca Schiavone and Olga,French Open,0,0.0,0.4644315000041388,0.00013659266049705174,4.010641758742436e-05,0.0,0.0,0.0
9,The original serialized story of the Bride of Re-,horror fiction,0,0.0,0.49004630000854377,0.0001446183830254631,4.24629349727213e-05,0.0,0.0,0.0
10,The Stone Book series is set in China.,North West England,0,0.0,0.4891034999891417,0.00014379146811867557,4.222013572977367e-05,0.0,0.0,0.0
11,"The album ""Love Actually"" was not directly named",two Grammy awards,0,0.0,0.33777589999954216,9.98537743044956e-05,2.931912414154174e-05,0.0,0.0,0.0
12,Jessica Jones is a television series created for Netflix and,Daredevil,0,0.0,0.49259670000174083,0.00014243021848957575,4.182044481031477e-05,0.0,0.0,0.0
13,"The Second Lady refers to Kamala Harris, who",fashion model,0,0.0,0.4591607999900589,0.00013479270855617316,3.9577914636274e-05,0.0,0.0,0.0
14,As of my last update in July 20,"October 15, 2013",0,0.0,0.4786688000021968,0.00014135985289414577,4.150616343249174e-05,0.0,0.0,0.0
15,Sinimole Paulose's favorite events include the,1896,0,0.0,0.46776040000258945,0.0001374983438455536,4.037234486671457e-05,0.0,0.0,0.0
16,"The song ""Hold On"" features the vocals of",Mercury Prize,0,0.0,0.4916164000023855,0.0001444601182219976,4.241646516772533e-05,0.0,0.0,0.0
17,Ricardo Rodríguez Saá is a,Adolfo Rodríguez Saá,0,0.5,0.4758830999926431,0.0001405227929173189,4.126038538809189e-05,0.0,0.0,0.0
18,"The man who played Lex Luthor in ""Super","January 30, 1930",0,0.0,0.47552659999928437,0.00013948982263843116,4.095708404518142e-05,0.0,0.0,0.0
19,The 1966 Football League Cup Final,West Bromwich Albion Football Club,0,0.1818181818181818,0.46927980000327807,0.00013783710656267584,4.047181257564208e-05,0.0,0.0,0.0
20,The major benefactor who donated money to build Arch,John D Rockefeller's Standard Oil Company,0,0.0,0.4771714999951655,0.00014049847603178758,4.12532454498112e-05,0.0,0.0,0.0
21,"Armie Hammer stars as Oliver in the film """,Luca Guadagnino,0,0.0,0.4842645999888191,0.0001405396551395927,4.1265336483747426e-05,0.0,0.0,0.0
22,"I am sorry, I cannot answer that question.",Palestinian,0,0.0,0.491372099990258,0.0001410602231641802,4.141818597434811e-05,0.0,0.0,0.0
