timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-11T00:23:36,boolq_deepseek-r1:8b_q,b77d4c67-563a-4e64-a304-82c867a036cd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.618427899986273,0.000517206536195,9.20553837126444e-05,960.0,149.20196106519882,20.0,0.0014975481066697,0.0002327476861978,3.1183318333286376e-05,0.0017614791112008,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:37,boolq_deepseek-r1:8b_q,d5cc17a8-ea1f-4bd7-8719-198d47175e9c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.600547499983804,0.0006133128184976,9.291847661109223e-05,960.0,159.38192984484778,20.0,0.001759953679998,0.0002921932893098,3.664666111112133e-05,0.002088793630419,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:40,boolq_deepseek-r1:8b_q,b076cbcc-2a65-4ad1-a7ee-25ad5d225d7b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.021919099992374,0.0009546723156957,9.52584336563363e-05,960.0,188.0237740381688,20.0,0.0026723217066687,0.0005233968076059,5.566217111109937e-05,0.0032513806853858,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:40,boolq_deepseek-r1:8b_q,3bfcc5dc-9ca9-45ba-a9a5-1a421a9798b3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.086198600009084,0.0009616891513052,9.53470370199124e-05,960.0,189.1149282061361,20.0,0.0026894569866669,0.0005298098682919,5.6011458333361786e-05,0.0032752783132923,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:40,boolq_deepseek-r1:8b_simplifying,979f0079-6466-4da4-91ce-708610028f5f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0039505999884568,2.712778584191547e-07,6.86675085333358e-05,960.0,0.0,20.0,9.136000027259192e-07,0.0,1.0306111168271552e-08,9.239061138941908e-07,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:43,boolq_deepseek-r1:8b_q,40056183-3e33-405c-b63a-a7d42e02e8e8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.674420600000303,0.001221247417645,9.635528567238704e-05,960.0,201.45898646153748,20.0,0.0033796425066655,0.000709229456272,7.039839666669852e-05,0.0041592703596043,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:44,boolq_deepseek-r1:8b_q,37752e43-b757-4a06-baa9-ccfa8aa90da9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.637804400001189,0.0013217763796229,9.692002765656707e-05,960.0,208.37411070373693,20.0,0.0036365599199974,0.0007893395203599,7.57480049998978e-05,0.0045016474453573,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:45,boolq_deepseek-r1:8b_simplifying,e6cb7f0f-f9f1-40f2-bfad-de1eece25bc3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0064953000110108,4.206173678122039e-07,6.475718859778191e-05,960.0,0.0,20.0,1.4248799998313189e-06,0.0,7.64000012875638e-09,1.4325199999600753e-06,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:49,boolq_deepseek-r1:8b_q,43361834-3ef3-4443-811c-1311177dd3f8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,17.67790270000114,0.001726308573318,9.765347182943562e-05,960.0,237.34826955849988,20.0,0.0047137018933348,0.001067533631804,9.814974666660418e-05,0.0058793852718055,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
2025-07-11T00:23:49,boolq_deepseek-r1:8b_simplifying,702d3a8b-e95e-45da-8764-9eaf8cf02ea5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0069195999822113,3.403644970435213e-07,4.918846435032615e-05,960.0,0.0,20.0,1.1519999941810966e-06,0.0,7.198333332780749e-09,1.1591983275138771e-06,Canada,CAN,new brunswick,,,Windows-10-10.0.26100-SP0,3.11.9,3.0.2,16.0,AMD Ryzen 7 7800X3D 8-Core Processor,1.0,1 x NVIDIA GeForce RTX 4090,-66.6784,45.8122,59.6035041809082,machine,N,1.0
